review_text,is_fake
"This blender works perfectly for my morning smoothies. Quiet and powerful.",0
"DO NOT MISS!!! BEST BLENDER 2024!!! BUY NOW LIMITED STOCK!!!",1
"The fabric is comfortable but the color faded after 3 washes.",0
"ABCD12345 5-STAR LUXURY FABRIC!!! WOW!!!",1
"Good battery life, but the touchscreen is less responsive in cold weather.",0
"SCAM PRODUCT! BROKE IN 2 DAYS! REFUND NOW!",0
"PERFECT PHONE!!! FASTEST DELIVERY EVER!!! GIFT INCLUDED!!!",1
"The book arrived with a torn cover, but the content is excellent.",0
"12345 BEST BOOK EVER WRITTEN!!! LIFE-CHANGING!!!",1
"Average headphones. Bass is weak but noise cancellation works well.",0
"FAKE HEADPHONES! CHEAP MATERIALS! TOTAL WASTE!",0
"GOLD QUALITY!!! PREMIUM SOUND!!! 100% SATISFACTION!!!",1
"The shoes are true to size but take time to break in.",0
"INSTANT COMFORT!!! MAGIC SHOES!!! BUY 2 GET 1 FREE!!!",1
"Camera quality is decent for the price, but low-light performance is poor.",0
"REAL 4K!!! PROFESSIONAL QUALITY!!! 10X ZOOM!!!",1
"Package arrived late but the wireless charger works as expected.",0
"FASTEST CHARGER ON EARTH!!! 100W SUPER SPEED!!!",1
"The mattress is firm as advertised, but the edges could be more supportive.",0
"MEDICAL-GRADE MATTRESS!!! BACK PAIN GONE!!! 5-YEAR WARRANTY!!!",1
"Mixed feelings. The smartwatch tracks steps well but heart rate data seems inaccurate.",0
"WORLD'S MOST ACCURATE SMARTWATCH!!! DOCTOR APPROVED!!!",1
"Good budget option, but the plastic frame feels cheap.",0
"ULTRA-PREMIUM METAL BUILD!!! LUXURY DESIGN!!!",1
"The water bottle leaks if not closed tightly, but keeps drinks cold for hours.",0
"UNBREAKABLE!!! 48-HOUR ICE RETENTION!!! NASA-TECH!!!",1
"Decent vacuum cleaner, but the cord is too short for large rooms.",0
"ROBOT VACUUM!!! SELF-CLEANING!!! AI SMART NAVIGATION!!!",1
"Average coffee maker. Brews consistently but the carafe handle is fragile.",0
"COMMERCIAL-GRADE!!! BARISTA QUALITY!!! WAKE UP PERFECT!!!",1
"Backpack straps lack padding, but the waterproof material works well.",0
"MILITARY-GRADE!!! 100KG CAPACITY!!! FREE LIFETIME WARRANTY!!!",1
"Keyboard keys are too loud for office use, but typing feel is excellent.",0
"SILENT-TECH KEYBOARD!!! ERGONOMIC DESIGN!!! 10-YEAR DURABILITY!!!",1
"Plant grew well initially but died after 2 months. Maybe my watering mistake.",0
"MIRACLE GROW!!! 10X FASTER!!! GUARANTEED BLOOM!!!",1
"Tablet gets warm during gaming but handles everyday tasks smoothly.",0
"GAMING BEAST!!! 120FPS!!! VR READY!!!",1
"Curtains block light well but the stitching came loose in one corner.",0
"BLACKOUT PRO!!! 100% DARKNESS!!! SOUNDPROOF!!!",1
"Helpful grammar suggestions but the app crashes frequently.",0
"AI WRITING GENIUS!!! ERROR-FREE ESSAYS!!! INSTANT GRAMMAR FIX!!!",1
"Comfortable office chair but the armrests aren't adjustable.",0
"ORTHOPEDIC CHAIR!!! BACK PAIN ERASED!!! 8D MASSAGE!!!",1
"Effective stain removal but the detergent scent is too strong.",0
"HYPOALLERGENIC!!! 100 STAINS 1 WASH!!! ECO-FRIENDLY!!!",1
"Accurate temperature control but the oven heats unevenly in convection mode.",0
"SMART CHEF OVEN!!! 50 RECIPES AUTO-COOK!!! RESTAURANT QUALITY!!!",1
"Wallet has good organization but the leather scratches easily.",0
"GENUINE ITALIAN LEATHER!!! HANDCRAFTED!!! ANTI-THEFT TECH!!!",1
"Reliable wifi extender but difficult to configure without the app.",0
"WHOLE-HOUSE COVERAGE!!! 10G SPEED!!! HACKER-PROOF!!!",1
"Comfortable running shoes but the soles wore out quickly on pavement.",0
"CLOUD CUSHION!!! 1000-MILE GUARANTEE!!! RUN FASTER!!!",1
"Useful features but the fitness app drains phone battery fast.",0
"AI PERSONAL TRAINER!!! 500 WORKOUTS!!! CALORIE BLASTER!!!",1
"Good sound quality but the earbuds fall out during exercise.",0
"BEATS KILLER!!! BASS EXPLOSION!!! 100HR PLAY TIME!!!",1
"Sturdy luggage but the wheels jam on carpet.",0
"UNBREAKABLE SUITCASE!!! 360Â° WHEELS!!! TSA PROOF!!!",1
"Effective skincare but the pump dispenser often gets stuck.",0
"FOREVER YOUNG CREAM!!! WRINKLE ERASER!!! CELEB SECRET!!!",1
"Accurate thermometer but the display is hard to read in sunlight.",0
"INSTANT READING!!! DOCTOR'S CHOICE!!! BABY SAFE!!!",1
"Good knife set but the block takes too much counter space.",0
"PRO CHEF KNIVES!!! NEVER SHARPEN!!! LIFETIME WARRANTY!!!",1
"Comfy pajamas but the color bleeds in wash.",0
"SILK TECH PJs!!! TEMPERATURE CONTROL!!! ANTI-BACTERIAL!!!",1
"Functional desk but the assembly instructions were unclear.",0
"EASY 1-MIN SETUP!!! CARBON FIBER!!! 500KG LOAD!!!",1
"Pleasant scent but the candle burns unevenly.",0
"72-HOUR BURN!!! AROMATHERAPY GRADE!!! HOLISTIC HEALING!!!",1
"Good budget monitor but the stand isn't height-adjustable.",0
"4K HDR 144Hz!!! EYE CARE TECH!!! GAMER'S DREAM!!!",1
"Effective umbrella but inverted when closing in strong wind.",0
"STORM PROOF!!! AUTO-OPEN!!! 10-YEAR WARRANTY!!!",1
"Nice design but the jewelry tarnished after 2 weeks.",0
"SOLID GOLD!!! DIAMOND CUT!!! CELEB STYLE!!!",1
"Tasty coffee but the pods are expensive compared to competitors.",0
"GOURMET BLEND!!! AWARD WINNING!!! FREE PODS FOR LIFE!!!",1
"Comfortable bra but the underwire pokes through after 3 months.",0
"MAGIC SUPPORT!!! 24/7 COMFORT!!! SCIENTIFIC DESIGN!!!",1
"Good pet brush but could be better at catching loose hair.",0
"FUR TERMINATOR!!! 100% HAIR REMOVAL!!! PETS LOVE IT!!!",1
"Accurate scale but slippery surface when stepping on with wet feet.",0
"SMART BMI SCALE!!! MUSCLE TRACKER!!! DOCTOR APPROVED!!!",1
"Sturdy ladder but very heavy to move around.",0
"ULTRA-LIGHT!!! 10M REACH!!! ANTI-SLIP!!! INDUSTRIAL GRADE!!!",1
"Effective cleaner but the lemon scent is overpowering.",0
"GREEN CLEAN!!! 99.9% GERM KILL!!! TOXIN FREE!!!",1
"Good value bicycle but the seat is uncomfortably hard.",0
"CARBON FIBER BIKE!!! 21 GEARS!!! RACE READY!!!",1
"Flavorful tea but the bags break too easily in hot water.",0
"SUPREME TEA!!! WEIGHT LOSS BLEND!!! ENERGY BOOST!!!",1
"Functional toolset but the case latch broke after 6 months.",0
"PRO MECHANIC KIT!!! 200 TOOLS!!! LIFETIME REPLACEMENT!!!",1